Week,Global warming,Pollution,Endangered species
2018-04-01,34,65,41
2018-04-08,39,83,47
2018-04-15,48,96,48
2018-04-22,44,99,48
2018-04-29,44,91,50
2018-05-06,41,87,48
2018-05-13,39,88,52
2018-05-20,35,70,45
2018-05-27,27,60,34
2018-06-03,22,47,26
2018-06-10,16,40,23
2018-06-17,15,29,18
2018-06-24,14,27,20
2018-07-01,15,31,22
2018-07-08,12,30,20
2018-07-15,13,28,21
